seed,featureset,method,top_feature,concentration,MODULE_TEMP,Amb_Temp,WIND_Speed,IRR (W/m2),DC Current in Amps,AC Ir in Amps,AC Iy in Amps,AC Ib in Amps
0,leaky,SHAP,DC Current in Amps,0.3205034880362485,0.009539565802551806,0.008635663196577558,0.0067570571248818725,0.0745266790765648,0.43238386358688824,0.3883333354662838,0.20371639602351937,0.2251843756279864
0,leaky,LIME,DC Current in Amps,0.38011925904798066,0.035337067507465424,0.009399806390512518,0.02218132034508472,0.0927152148593691,0.4469810781978933,0.26576071284889885,0.13817464292194165,0.16534710915737974
0,leaky,IG,DC Current in Amps,0.4198154709627217,0.04289702699752525,0.005612888233736157,0.023741733469069003,0.07633078382350504,0.4921880684792995,0.26164191849529744,0.12668108232319356,0.14329794757068157
0,leaky,ICE,DC Current in Amps,0.3222589217783799,0.16222092509269714,0.09440221786499023,0.1273251324892044,0.3309950977563858,1.3535289533436299,1.0311629548668861,0.49097560048103334,0.6095178402960301
0,leaky,PDP,DC Current in Amps,0.32493527513275894,0.15879221558570866,0.0792370378971099,0.11142800450325008,0.3309950977563858,1.3535289533436299,1.0311629548668861,0.4908719480037689,0.6095178402960301
0,leak_aware,SHAP,IRR (W/m2),0.9584683905706235,0.028841339858869712,0.009917959881325562,0.01632272141675154,1.2711854149897894,,,,
0,leak_aware,LIME,IRR (W/m2),0.8705872740179329,0.07430747659283174,0.03441767140566472,0.030977352424132593,0.9398088023683184,,,,
0,leak_aware,IG,IRR (W/m2),0.876024602749312,0.04665523488074541,0.04543582970509306,0.04831746518611908,0.9921430319547653,,,,
0,leak_aware,ICE,IRR (W/m2),0.8650722004060556,0.21110054701566697,0.1815687745809555,0.10866385102272033,3.214233034849167,,,,
0,leak_aware,PDP,IRR (W/m2),0.8863119952276615,0.17755558937788007,0.15355182290077207,0.08118503391742704,3.2142330348491672,,,,
