seed,featureset,lag_before_t,abs_IG
0,leaky,11,0.006019882648251951
0,leaky,10,0.006120164587628096
0,leaky,9,0.004898630469688215
0,leaky,8,0.005678111326415092
0,leaky,7,0.00546640258980915
0,leaky,6,0.004689606954343617
0,leaky,5,0.005458654032554478
0,leaky,4,0.004702954750973732
0,leaky,3,0.005174332426395267
0,leaky,2,0.004090644081588835
0,leaky,1,0.006179501721635461
0,leaky,0,0.9758837357163429
0,leak_aware,11,0.009118614194449037
0,leak_aware,10,0.009853815799579025
0,leak_aware,9,0.009022916061803698
0,leak_aware,8,0.009195549541618674
0,leak_aware,7,0.009426777262706309
0,leak_aware,6,0.007680770813021809
0,leak_aware,5,0.009720339183695614
0,leak_aware,4,0.008289351616986096
0,leak_aware,3,0.008739625313319265
0,leak_aware,2,0.007253047148697078
0,leak_aware,1,0.010073772759642451
0,leak_aware,0,0.8390107095241547
