trained_on,tested_on,featureset,seed,zero_shot,R2,RMSE_W,MAE_W
A,A,leak_aware,0,False,0.9808610677719116,12682.81609107378,9064.9833984375
A,B,leak_aware,0,True,0.7755447626113892,28046.730148093913,24131.9140625
B,B,leak_aware,0,False,0.984219491481781,7436.662692364096,4383.39599609375
B,A,leak_aware,0,True,0.8606345653533936,34224.28611381105,24856.79296875
A,A,leaky,0,False,0.9980164766311646,4082.9604455590797,3099.6806640625
A,B,leaky,0,True,0.8036122918128967,26234.604323297885,20938.115234375
B,B,leaky,0,False,0.999785304069519,867.4102259023697,481.2090148925781
B,A,leaky,0,True,0.9801160097122192,12927.317432476082,8167.01171875
