combo,featureset,R2,RMSE_W,RMSE_over_p99.5cap
A_in_site,leak_aware,0.9834072779411863,11762.095969632546,0.03620767771856598
A_in_site,leaky,0.9995208213739218,1998.824289638829,0.006153051792991387
B_in_site,leak_aware,0.9906184117612913,6359.966788766204,0.027006228402404266
B_in_site,leaky,0.9999233341481253,574.9335425371288,0.0024413313908158334
A_train_B_test (zero-shot),leak_aware,0.9418450036163999,15879.527071145616,0.06742898968639327
A_train_B_test (zero-shot),leaky,0.9976262424736307,3208.20583848342,0.013622954728167389
B_train_A_test (zero-shot),leak_aware,0.884240271816374,31027.133219179563,0.09551192602334824
B_train_A_test (zero-shot),leaky,0.9616324843524467,17862.602779052962,0.05498708447104397
