group,featureset,method,seed_pair,spearman,top1_of_group_match,extra_feature,coeff_of_variation
A_correlated_leaky,leaky,ICE,0-1,-1.0,0.0,,
A_correlated_leaky,leaky,ICE,0-2,-1.0,0.0,,
A_correlated_leaky,leaky,ICE,0-3,1.0,1.0,,
A_correlated_leaky,leaky,ICE,0-4,-1.0,0.0,,
A_correlated_leaky,leaky,ICE,1-2,1.0,1.0,,
A_correlated_leaky,leaky,ICE,1-3,-1.0,0.0,,
A_correlated_leaky,leaky,ICE,1-4,1.0,1.0,,
A_correlated_leaky,leaky,ICE,2-3,-1.0,0.0,,
A_correlated_leaky,leaky,ICE,2-4,1.0,1.0,,
A_correlated_leaky,leaky,ICE,3-4,-1.0,0.0,,
A_correlated_leaky,leaky,IG,0-1,-0.5,0.0,,
A_correlated_leaky,leaky,IG,0-2,-0.5,0.0,,
A_correlated_leaky,leaky,IG,0-3,0.5,1.0,,
A_correlated_leaky,leaky,IG,0-4,-0.5,0.0,,
A_correlated_leaky,leaky,IG,1-2,1.0,1.0,,
A_correlated_leaky,leaky,IG,1-3,-1.0,0.0,,
A_correlated_leaky,leaky,IG,1-4,1.0,1.0,,
A_correlated_leaky,leaky,IG,2-3,-1.0,0.0,,
A_correlated_leaky,leaky,IG,2-4,1.0,1.0,,
A_correlated_leaky,leaky,IG,3-4,-1.0,0.0,,
A_correlated_leaky,leaky,LIME,0-1,-1.0,0.0,,
A_correlated_leaky,leaky,LIME,0-2,-1.0,0.0,,
A_correlated_leaky,leaky,LIME,0-3,1.0,1.0,,
A_correlated_leaky,leaky,LIME,0-4,-1.0,0.0,,
A_correlated_leaky,leaky,LIME,1-2,1.0,1.0,,
A_correlated_leaky,leaky,LIME,1-3,-1.0,0.0,,
A_correlated_leaky,leaky,LIME,1-4,1.0,1.0,,
A_correlated_leaky,leaky,LIME,2-3,-1.0,0.0,,
A_correlated_leaky,leaky,LIME,2-4,1.0,1.0,,
A_correlated_leaky,leaky,LIME,3-4,-1.0,0.0,,
A_correlated_leaky,leaky,PDP,0-1,-1.0,0.0,,
A_correlated_leaky,leaky,PDP,0-2,-1.0,0.0,,
A_correlated_leaky,leaky,PDP,0-3,1.0,1.0,,
A_correlated_leaky,leaky,PDP,0-4,-1.0,0.0,,
A_correlated_leaky,leaky,PDP,1-2,1.0,1.0,,
A_correlated_leaky,leaky,PDP,1-3,-1.0,0.0,,
A_correlated_leaky,leaky,PDP,1-4,1.0,1.0,,
A_correlated_leaky,leaky,PDP,2-3,-1.0,0.0,,
A_correlated_leaky,leaky,PDP,2-4,1.0,1.0,,
A_correlated_leaky,leaky,PDP,3-4,-1.0,0.0,,
A_correlated_leaky,leaky,SHAP,0-1,-0.5,0.0,,
A_correlated_leaky,leaky,SHAP,0-2,-1.0,0.0,,
